FT  ID  AT  WT  ST
4   3   1   0   3
7   9   2   0   5
8   7   1   0   7
9   13   3   0   6
9   5   1   0   8
10   6   1   0   9
11   4   1   0   10
12   11   2   5   5
13   1   1   0   12
14   10   2   0   12
15   8   1   0   14
21   35   15   5   1
21   26   8   1   12
23   14   3   12   8
27   37   15   4   8
29   17   3   20   6
29   18   4   0   25
31   2   1   0   30
34   15   3   19   12
37   25   8   24   5
37   32   12   2   23
43   29   10   24   9
53   33   13   0   40
55   30   10   27   18
57   34   15   0   42
58   24   8   24   26
96   31   11   46   39
142   22   7   3   132
154   23   8   23   123
Orders: 29 [Norm:1, Veg:13, VIP:12]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:11]
Avg Wait = 8.24138, Avg Serv = 22.4138
Urgent orders: 3,  Auto-promoted: 40%
