FT  ID  AT  WT  ST
3   3   1   0   2
7   9   2   0   5
8   7   1   0   7
9   14   3   0   6
9   5   1   0   8
10   6   1   0   9
13   1   1   0   12
14   11   2   5   7
16   13   3   0   13
16   2   1   0   15
19   10   2   0   17
20   4   1   0   19
21   35   15   5   1
21   18   4   4   13
31   37   15   4   12
35   17   3   18   14
36   32   12   1   23
41   15   3   13   25
41   8   1   0   40
49   25   8   31   10
53   33   13   0   40
55   29   10   32   13
56   24   8   28   20
60   26   8   1   51
68   34   15   1   52
103   23   8   16   79
115   30   10   39   66
120   22   7   3   110
137   31   11   40   86
Orders: 29 [Norm:1, Veg:13, VIP:11]
cooks: 11 [Norm:4, Veg:5, VIP:2, injured:12]
Avg Wait = 8.31034, Avg Serv = 26.7241
Urgent orders: 4,  Auto-promoted: 40%
